case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,next_action,provenance_hash
pfe_2025_q4,PFE,Pfizer Inc.,vendor,transcript,licensed-vendor://blocked/PFE/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:b5e8226c8535902572ca2eaeaf31749a3ee6beb6969359394fc5d0812ab9b041
unh_2025_q4,UNH,UnitedHealth Group Incorporated,youtube,video,https://www.youtube.com/results?search_query=UNH+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:78a4788d9cc72d83e894a60174dfd1789ad04309e0ea18fd002c55a3996e73e4
unh_2025_q4,UNH,UnitedHealth Group Incorporated,vendor,transcript,licensed-vendor://blocked/UNH/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:d7edb8f6b17e14e6fb4ddc8c440f7d57067fc76876554ae9c88e801ea7275861
cvs_2025_q4,CVS,CVS Health Corporation,youtube,video,https://www.youtube.com/results?search_query=CVS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:7fbda1249231b6c4d97ff480d26ec3fe42a216ff316c8001f458f9f7ba6d6faa
cvs_2025_q4,CVS,CVS Health Corporation,vendor,transcript,licensed-vendor://blocked/CVS/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:c7e36385fb1cd0bfc133a49d7ad8634317477d13f3957f5d3419ca1787bd5d78
abt_2025_q4,ABT,Abbott Laboratories,youtube,video,https://www.youtube.com/results?search_query=ABT+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:00e6b9f1394506ea7302d72d4de9b8249a2ec3c15ae15bcc41478dae67b5d74b
abt_2025_q4,ABT,Abbott Laboratories,vendor,transcript,licensed-vendor://blocked/ABT/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:69de84a36218082126e92da3bdda9c1d07c006e8d772ea8a7a20fd577ec5f40f
bmy_2025_q4,BMY,Bristol Myers Squibb Company,youtube,video,https://www.youtube.com/results?search_query=BMY+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:ee3ba30a82d055b31e281894829e3b25f6818f742f5245423e1fc5157b3da7d5
bmy_2025_q4,BMY,Bristol Myers Squibb Company,vendor,transcript,licensed-vendor://blocked/BMY/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:3b9c6f447456ab15dd9e0998a7c7c4d674ef75ef4365de201dbdea710453e219
mdt_2025_q4,MDT,Medtronic plc,youtube,video,https://www.youtube.com/results?search_query=MDT+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:c85929f000d00cd09e1ab626236ff77d6222b0e9f0a08e7dbeffce852f45e1a1
mdt_2025_q4,MDT,Medtronic plc,vendor,transcript,licensed-vendor://blocked/MDT/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:2cef54592021bcf5bb4bc25b0e6caa1b6e01592cca8bc5d27bfb5640d63913bb
tmo_2025_q4,TMO,Thermo Fisher Scientific Inc.,youtube,video,https://www.youtube.com/results?search_query=TMO+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:d8f71e5a4bb8d1e679bd38c87e3069be13189e6fa7d9b11de458e237563c1b8a
tmo_2025_q4,TMO,Thermo Fisher Scientific Inc.,vendor,transcript,licensed-vendor://blocked/TMO/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:2f098b6a87b49bdc73cd7cc6926f42b9c3edbc11767d6ac4d76521c105f4d412
dhr_2025_q4,DHR,Danaher Corporation,youtube,video,https://www.youtube.com/results?search_query=DHR+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:d9057b1159223630e1a15be9ad89edb8180f6d1d0682c035444c2ddd4792d978
dhr_2025_q4,DHR,Danaher Corporation,vendor,transcript,licensed-vendor://blocked/DHR/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:bf4de8c5b61e5e25766f8fca8f0932fdfc926835eda0c2110621ed1a2166341f
bdx_2025_q4,BDX,"Becton, Dickinson and Company",youtube,video,https://www.youtube.com/results?search_query=BDX+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:fa3f6650f49518a0ac730257b6deefc237345ec9a98c249223a38efc1dcffe52
bdx_2025_q4,BDX,"Becton, Dickinson and Company",vendor,transcript,licensed-vendor://blocked/BDX/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:1c581b0f50d955b5f18b3695e6bee5ffddc6cac160f62754c6115e94f08aa77b
ci_2025_q4,CI,The Cigna Group,youtube,video,https://www.youtube.com/results?search_query=CI+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:97800c552e49da989c4d595b62f207347edd47f3ed9bbfd780c3f75f06305290
ci_2025_q4,CI,The Cigna Group,vendor,transcript,licensed-vendor://blocked/CI/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:938424b3bc7c584ca9bea9744729627460a935085ac3ea7d80a9d02befa7195d
hca_2025_q4,HCA,"HCA Healthcare, Inc.",youtube,video,https://www.youtube.com/results?search_query=HCA+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:ec414ccccdfac64feffee27cc2b4ccf3b2da035f8e843ef51dbf804263165efa
hca_2025_q4,HCA,"HCA Healthcare, Inc.",vendor,transcript,licensed-vendor://blocked/HCA/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:b5248737e1338e76d28c46d724366090f9c9052311e836035cd54e23538e7fea
syk_2025_q4,SYK,Stryker Corporation,youtube,video,https://www.youtube.com/results?search_query=SYK+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:bb3e033549897cd5bb4f01d949ba09afa5980a393697ee1376b21886958091e9
syk_2025_q4,SYK,Stryker Corporation,vendor,transcript,licensed-vendor://blocked/SYK/2025/Q4,licensed-vendor,license_required,vendor_license_missing,Register license_config_ref before any vendor raw content use.,sha256:79bdd2e01440dbf4699c55c45f0b3d532865ce6aff8077902202f147cc13aba2
xom_2025_q4,XOM,Exxon Mobil Corporation,youtube,video,https://www.youtube.com/results?search_query=XOM+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,Keep YouTube as metadata/link reference only unless explicit written authorization exists.,sha256:82bb2feb3e142aed0d5ed91e143e549f0330953ca1236b2c06c3f65032dd04e2
