segment_id,case_id,audio_asset_id,start_time_sec,end_time_sec,speaker,text_sha256,raw_text_committed
vz_2024_q4_00107,vz_2024_q4,vz_2024_q4_audio,658.08,663.84,,sha256:0439df95a24772d03f4cffd79bba5378d9d4a697d9cc87d426031737970c98d5,false
vz_2024_q4_00108,vz_2024_q4,vz_2024_q4_audio,663.84,670.08,,sha256:c02dec08aa69cf12181b9aadc96acd9080212401368898324d1342bc805dfb9d,false
vz_2024_q4_00109,vz_2024_q4,vz_2024_q4_audio,670.4000000000001,676.1600000000001,,sha256:20895dc51d210af9a40482b0bfb604bf66ef5285c8b2494bb66e000a91865138,false
vz_2024_q4_00110,vz_2024_q4,vz_2024_q4_audio,676.1600000000001,683.2800000000001,,sha256:9b3ec622e9208f4be5ee15b67f5a08c188a0ea43117efc11ac0b31d8e16af51a,false
vz_2024_q4_00111,vz_2024_q4,vz_2024_q4_audio,683.2800000000001,691.2,,sha256:65fc88c654b13ee64a3f93a3d5d27599018f1842e0b429145a2d892069557469,false
vz_2024_q4_00112,vz_2024_q4,vz_2024_q4_audio,691.2,696.6400000000001,,sha256:796994dbec8f0352c9844354163a213accfa4485d1a5e53209e183646035cc81,false
vz_2024_q4_00113,vz_2024_q4,vz_2024_q4_audio,696.72,703.6,,sha256:fa3d4b90912ab25c390f6e8cca434ce7fd88ff1b6f76ab48a1347bf7e899724d,false
vz_2024_q4_00114,vz_2024_q4,vz_2024_q4_audio,703.6,709.4399999999999,,sha256:ec2addb54426c4d38fc6ad92bdee1d8cdb1091b54d6792425eb1813e9f1d090c,false
vz_2024_q4_00115,vz_2024_q4,vz_2024_q4_audio,710.0,717.12,,sha256:0d6030ecea887c9cde625173f99354f5fdd0408331186f95db008a9cdca4ce62,false
vz_2024_q4_00116,vz_2024_q4,vz_2024_q4_audio,717.12,722.16,,sha256:e9c99f8974555f2e44d856ce8e7aef3e9da42078d2833a93c107700fa031642c,false
vz_2024_q4_00117,vz_2024_q4,vz_2024_q4_audio,722.16,725.28,,sha256:c3a68444f890d4a1a18082375457244d3b34fd2b43061209dbd7e5381a374042,false
vz_2024_q4_00118,vz_2024_q4,vz_2024_q4_audio,726.48,731.04,,sha256:560d3483fbeefdca53439ba734bb9720219ccbf5162e6195ef8816e8aa19ab10,false
vz_2024_q4_00119,vz_2024_q4,vz_2024_q4_audio,731.04,735.28,,sha256:6008623580a484a12b50f9d21a520dec239f3cb8ba9fe1c0c229693dacaee355,false
vz_2024_q4_00120,vz_2024_q4,vz_2024_q4_audio,735.28,740.48,,sha256:351c73927287ad1528f94493ac96bb3d7ded47819797512b955321769ecfb14e,false
vz_2024_q4_00121,vz_2024_q4,vz_2024_q4_audio,740.48,746.56,,sha256:3c50538a160dc43e4c3535327189a905d2726bbaebb93bd57cfca88131f63a80,false
vz_2024_q4_00122,vz_2024_q4,vz_2024_q4_audio,746.56,751.92,,sha256:81932e787a64a806e982c29deca928837c6fb489a48f03e0a19a6e5e9063d2e7,false
vz_2024_q4_00123,vz_2024_q4,vz_2024_q4_audio,751.92,756.4,,sha256:429eaf58f9e73311c668c5b70da5f37b954ffc3e03f5ece195ce88628f940af5,false
vz_2024_q4_00124,vz_2024_q4,vz_2024_q4_audio,756.4,762.8,,sha256:ee79c055268f3dc478f4a01c482c3e8d0aaa750308f12fd204707b4f2f72b2f5,false
vz_2024_q4_00125,vz_2024_q4,vz_2024_q4_audio,762.8,768.4799999999999,,sha256:5b452257f047d72df73c1e12f4a2f3be0a9dcd43fc241374f683af3e1e6e9eb6,false
vz_2024_q4_00126,vz_2024_q4,vz_2024_q4_audio,769.12,774.88,,sha256:fb9d36a34736470c0c4543b885fa96aaa96c9975dfbaa8bf6724b5f35d8fa5ed,false
vz_2024_q4_00127,vz_2024_q4,vz_2024_q4_audio,774.96,781.68,,sha256:c38a8463141c6364c386aacf105bf14ffb6a7cdb1cb702f4d4f03e533517a843,false
vz_2024_q4_00128,vz_2024_q4,vz_2024_q4_audio,781.68,786.8,,sha256:d5886df3b20a073dd4c20b6cf37e48958603baf507326666983dff6d5aa2c931,false
vz_2024_q4_00129,vz_2024_q4,vz_2024_q4_audio,786.8,792.56,,sha256:c4eac19ca4daa05d524ca0206e15318c28059f27f81bc6780116668ad9ee119f,false
vz_2024_q4_00130,vz_2024_q4,vz_2024_q4_audio,792.56,797.52,,sha256:a2a63746f2060640c5cc59618042c0baa8de664e8660c42ab35b5e9bfccd23ba,false
vz_2024_q4_00131,vz_2024_q4,vz_2024_q4_audio,798.72,803.36,,sha256:9b9c0c4610831dd2d7b57b01bd7b1fd17f84468dd86b283fef97c10e0cad6bd0,false
vz_2024_q4_00132,vz_2024_q4,vz_2024_q4_audio,804.16,809.2,,sha256:4237473947ace7a915ba1557449802e7a6456b1aa2315f7f3e35a2c9e422cc4c,false
vz_2024_q4_00133,vz_2024_q4,vz_2024_q4_audio,809.2,813.2,,sha256:3709f6ceb92d3313ca74bec896a13863f58551361eff43ae3555e418b17300e1,false
vz_2024_q4_00134,vz_2024_q4,vz_2024_q4_audio,814.16,818.48,,sha256:58fadeb674b03ebdcfd2532be454ddaff6bf01c4b71fdf29cd37cbba66a907f4,false
vz_2024_q4_00135,vz_2024_q4,vz_2024_q4_audio,818.48,822.72,,sha256:adda0ab4c203ccfd74a3d7dcb7e36ae22de674690cc08418eaaaeba485f92a9c,false
vz_2024_q4_00136,vz_2024_q4,vz_2024_q4_audio,823.52,829.44,,sha256:744638ded207424530e6450e97943f1db49345e95aa1e0188a6e25ec89284d73,false
vz_2024_q4_00137,vz_2024_q4,vz_2024_q4_audio,829.44,834.24,,sha256:99f4d948185903293bc3cfd3fa751a2083f89cfac506a29173efd603cb40c105,false
vz_2024_q4_00138,vz_2024_q4,vz_2024_q4_audio,835.2800000000001,841.0400000000001,,sha256:19f8a500c9dbbe5c489bf7872b54f01e2fb8c7c942a3b52e622aa756709d62f1,false
vz_2024_q4_00139,vz_2024_q4,vz_2024_q4_audio,841.0400000000001,844.24,,sha256:408793f66425d9d2a3a07c06b0acb5318fe357ac32d0fbfd5c6921048c2b9da4,false
vz_2024_q4_00140,vz_2024_q4,vz_2024_q4_audio,845.12,849.6,,sha256:c4a8e9dced64214a6ca7dae261e2599897ef2504c8f9ed35409cf96f75468a8f,false
